"P","P1","P2"
-0.6480000019073486,-0.972000002861023,-0.05400000140070915
-0.5940000414848328,-0.972000002861023,-0.05400000140070915
-0.5940000414848328,-0.9180000424385071,-0.05400000140070915
-0.5400000214576721,-0.972000002861023,-0.1080000028014183
-0.5400000214576721,-0.972000002861023,-0.05400000140070915
-0.5400000214576721,-0.9180000424385071,-0.05400000140070915
-0.4860000014305115,-0.972000002861023,-0.1080000028014183
-0.4860000014305115,-0.972000002861023,-0.05400000140070915
-0.4860000014305115,-0.9180000424385071,-0.1080000028014183
-0.4860000014305115,-0.9180000424385071,-0.05400000140070915
-0.37800002098083496,-0.972000002861023,-0.16200000047683716
-0.37800002098083496,-0.9180000424385071,-0.16200000047683716
-0.4320000112056732,-0.972000002861023,-0.1080000028014183
-0.4320000112056732,-0.972000002861023,-0.05400000140070915
-0.4320000112056732,-0.9180000424385071,-0.1080000028014183
-0.4320000112056732,-0.9180000424385071,-0.05400000140070915
-0.37800002098083496,-0.972000002861023,-0.1080000028014183
-0.37800002098083496,-0.972000002861023,-0.05400000140070915
-0.37800002098083496,-0.9180000424385071,-0.1080000028014183
-0.37800002098083496,-0.9180000424385071,-0.05400000140070915
-0.3240000009536743,-0.972000002861023,-0.3240000009536743
-0.3240000009536743,-0.972000002861023,-0.27000001072883606
-0.3240000009536743,-0.9180000424385071,-0.27000001072883606
-0.27000001072883606,-0.972000002861023,-0.3240000009536743
-0.27000001072883606,-0.972000002861023,-0.27000001072883606
-0.27000001072883606,-0.9180000424385071,-0.3240000009536743
-0.27000001072883606,-0.9180000424385071,-0.27000001072883606
-0.3240000009536743,-0.972000002861023,-0.2160000056028366
-0.3240000009536743,-0.972000002861023,-0.16200000047683716
-0.3240000009536743,-0.9180000424385071,-0.2160000056028366
-0.3240000009536743,-0.9180000424385071,-0.16200000047683716
-0.27000001072883606,-0.972000002861023,-0.2160000056028366
-0.27000001072883606,-0.9180000424385071,-0.2160000056028366
-0.27000001072883606,-0.9180000424385071,-0.16200000047683716
-0.3240000009536743,-0.972000002861023,-0.1080000028014183
-0.3240000009536743,-0.9180000424385071,-0.1080000028014183
-0.3240000009536743,-0.9180000424385071,-0.05400000140070915
-0.27000001072883606,-0.9180000424385071,-0.1080000028014183
-0.27000001072883606,-0.9180000424385071,-0.05400000140070915
-0.2160000056028366,-0.972000002861023,-0.3240000009536743
-0.2160000056028366,-0.972000002861023,-0.27000001072883606
-0.2160000056028366,-0.9180000424385071,-0.3240000009536743
-0.2160000056028366,-0.9180000424385071,-0.27000001072883606
-0.16200000047683716,-0.972000002861023,-0.3240000009536743
-0.16200000047683716,-0.972000002861023,-0.27000001072883606
-0.16200000047683716,-0.9180000424385071,-0.3240000009536743
-0.16200000047683716,-0.9180000424385071,-0.27000001072883606
-0.2160000056028366,-0.9180000424385071,-0.2160000056028366
-0.2160000056028366,-0.9180000424385071,-0.16200000047683716
